[2023/10/17 - 18:22:38] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2023/10/17 - 18:34:17] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2023/10/17 - 18:35:44] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2023/10/17 - 18:41:11] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2023/10/17 - 18:45:13] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2023/10/17 - 18:53:29] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2023/10/17 - 18:55:01] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2023/10/17 - 18:55:57] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2023/10/17 - 18:56:31] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2023/10/17 - 19:04:05] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2023/10/17 - 19:10:52] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2023/10/17 - 19:24:12] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2023/10/17 - 19:25:30] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2023/10/17 - 19:26:47] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2023/10/17 - 19:28:22] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2023/10/17 - 19:29:35] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2023/10/17 - 19:30:56] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2023/10/17 - 19:31:03] WISDOM_CA (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
